raio,angulo,coord_z,coord_y,energia
1.1,0.7853981633974483,0.7778174593052023,0.7778174593052024,-186.38066662605348
1.1,0.8639379797371931,0.8364465621600341,0.7143928531632021,-186.502326908959
1.1,0.9424777960769379,0.8899186938124423,0.6465637775217205,-186.61545276670753
1.1,1.0210176124166828,0.9379041807895014,0.5747484211875439,-186.69745479636578
1.1,1.0995574287564276,0.9801071766072047,0.4993895497135015,-186.75657478191943
1.1,1.1780972450961724,1.0162674857624154,0.42095177560159885,-186.79932289960578
1.1,1.2566370614359172,1.0461621679246689,0.3399186938124422,-186.8302432933496
1.1,1.335176877775662,1.0696069124374443,0.25678990024149606,-186.85263481968246
1.1,1.413716694115407,1.0864571746546516,0.17207791154425403,-186.8689676076449
1.1,1.4922565104551517,1.0966090671064408,0.08630500530062951,-186.88054277265906
1.1,1.5707963267948966,1.1,6.735557395310444e-17,-186.88541228033344
1.11,0.7853981633974483,0.7848885271170678,0.7848885271170679,-186.40566162744716
1.11,0.8639379797371931,0.8440506218160344,0.7208873336465039,-186.52610865824008
1.11,0.9424777960769379,0.8980088637561917,0.6524416300446453,-186.63535059746167
1.11,1.0210176124166828,0.9464305824330425,0.5799734068347033,-186.71435583227168
1.11,1.0995574287564276,0.9890172418490883,0.503929454710897,-186.77124005093526
1.11,1.1780972450961724,1.0255062810875284,0.42477860992524974,-186.81233526608798
1.11,1.2566370614359172,1.0556727330876206,0.3430088637561917,-186.8420550027583
1.11,1.335176877775662,1.079330611641421,0.2591243538800551,-186.86359945621305
1.11,1.413716694115407,1.096334058060603,0.17364225619465634,-186.87935821444313
1.11,1.4922565104551517,1.106578240443772,0.08708959625790795,-186.89056640898298
1.11,1.5707963267948966,1.11,6.796789735267811e-17,-186.89528689517135
1.12,0.7853981633974483,0.7919595949289332,0.7919595949289333,-186.42900182357343
1.12,0.8639379797371931,0.8516546814720347,0.7273818141298057,-186.54796677976276
1.12,0.9424777960769379,0.9060990336999413,0.65831948256757,-186.65343854371565
1.12,1.0210176124166828,0.9549569840765834,0.5851983924818628,-186.72954547414855
1.12,1.0995574287564276,0.997927307090972,0.5084693597082924,-186.78426887442947
1.12,1.1780972450961724,1.0347450764126414,0.4286054442489007,-186.82376727811408
1.12,1.2566370614359172,1.065183298250572,0.34609903369994116,-186.85232721917643
1.12,1.335176877775662,1.0890543108453978,0.26145880751861417,-186.87305278097602
1.12,1.413716694115407,1.1062109414665544,0.17520660084505865,-186.88825484604448
1.12,1.4922565104551517,1.1165474137811033,0.0878741872151864,-186.89910709823982
1.12,1.5707963267948966,1.12,6.858022075225179e-17,-186.90368347108682
1.1300000000000001,0.7853981633974483,0.7990306627407987,0.7990306627407988,-186.4507634729461
1.1300000000000001,0.8639379797371931,0.859258741128035,0.7338762946131077,-186.56800379435788
1.1300000000000001,0.9424777960769379,0.9141892036436907,0.6641973350904947,-186.66981620727077
1.1300000000000001,1.0210176124166828,0.9634833857201243,0.5904233781290223,-186.74311931426203
1.1300000000000001,1.0995574287564276,1.0068373723328556,0.513009264705688,-186.7957535729065
1.1300000000000001,1.1780972450961724,1.043983871737754,0.43243227857255156,-186.83370867231525
1.1300000000000001,1.2566370614359172,1.0746938634135237,0.34918920364369066,-186.86114767139543
1.1300000000000001,1.335176877775662,1.0987780100493747,0.2637932611571732,-186.88108058905186
1.1300000000000001,1.413716694115407,1.1160878248725057,0.17677094549546096,-186.89574356884572
1.1300000000000001,1.4922565104551517,1.1265165871184346,0.08865877817246486,-186.90624922789326
1.1300000000000001,1.5707963267948966,1.1300000000000001,6.919254415182546e-17,-186.91068595431528
1.1400000000000001,0.7853981633974483,0.8061017305526642,0.8061017305526643,-186.47101607493238
1.1400000000000001,0.8639379797371931,0.8668628007840353,0.7403707750964095,-186.58631734384778
1.1400000000000001,0.9424777960769379,0.9222793735874402,0.6700751876134194,-186.68457820157795
1.1400000000000001,1.0210176124166828,0.9720097873636652,0.5956483637761818,-186.75516809665595
1.1400000000000001,1.0995574287564276,1.0157474375747393,0.5175491697030834,-186.80578174636437
1.1400000000000001,1.1780972450961724,1.053222667062867,0.43625911289620245,-186.84224413788337
1.1400000000000001,1.2566370614359172,1.0842044285764751,0.35227937358744016,-186.86859954975677
1.1400000000000001,1.335176877775662,1.1085017092533513,0.2661277147957323,-186.88776551350924
1.1400000000000001,1.413716694115407,1.1259647082784572,0.17833529014586327,-186.90190460326113
1.1400000000000001,1.4922565104551517,1.136485760455766,0.08944336912974331,-186.91207278638527
1.1400000000000001,1.5707963267948966,1.1400000000000001,6.980486755139914e-17,-186.91637391530134
1.1500000000000001,0.7853981633974483,0.8131727983645297,0.8131727983645298,-186.48982374156915
1.1500000000000001,0.8639379797371931,0.8744668604400356,0.7468652555797113,-186.60300043055904
1.1500000000000001,0.9424777960769379,0.9303695435311897,0.6759530401363442,-186.6978144262167
1.1500000000000001,1.0210176124166828,0.9805361890072061,0.6008733494233414,-186.76577798651292
1.1500000000000001,1.0995574287564276,1.0246575028166232,0.5220890747004789,-186.81443653140013
1.1500000000000001,1.1780972450961724,1.0624614623879798,0.4400859472198534,-186.84945535684616
1.1500000000000001,1.2566370614359172,1.0937149937394266,0.3553695435311896,-186.8747617614104
1.1500000000000001,1.335176877775662,1.1182254084573282,0.2684621684342913,-186.8931846158537
1.1500000000000001,1.413716694115407,1.1358415916844085,0.17989963479626558,-186.90681449753367
1.1500000000000001,1.4922565104551517,1.1464549337930974,0.09022796008702176,-186.91665361515675
1.1500000000000001,1.5707963267948966,1.1500000000000001,7.041719095097281e-17,-186.9208228084106
1.1600000000000001,0.7853981633974483,0.8202438661763951,0.8202438661763953,-186.5072463913511
1.1600000000000001,0.8639379797371931,0.8820709200960359,0.7533597360630131,-186.61814164625503
1.1600000000000001,0.9424777960769379,0.9384597134749392,0.6818308926592689,-186.70961064178834
1.1600000000000001,1.0210176124166828,0.9890625906507471,0.6060983350705008,-186.77503082286123
1.1600000000000001,1.0995574287564276,1.0335675680585068,0.5266289796978744,-186.82179685388408
1.1600000000000001,1.1780972450961724,1.0717002577130927,0.4439127815435043,-186.85541844546233
1.1600000000000001,1.2566370614359172,1.1032255589023783,0.3584597134749391,-186.8797091696719
1.1600000000000001,1.335176877775662,1.1279491076613049,0.2707966220728504,-186.89741143834902
1.1600000000000001,1.413716694115407,1.14571847509036,0.1814639794466679,-186.91054585979782
1.1600000000000001,1.4922565104551517,1.1564241071304286,0.09101255104430021,-186.9200632547508
1.1600000000000001,1.5707963267948966,1.1600000000000001,7.102951435054649e-17,-186.92410418672233
1.1700000000000002,0.7853981633974483,0.8273149339882606,0.8273149339882607,-186.52334052190582
1.1700000000000002,0.8639379797371931,0.8896749797520364,0.759854216546315,-186.6318253983703
1.1700000000000002,0.9424777960769379,0.9465498834186886,0.6877087451821936,-186.72004757946263
1.1700000000000002,1.0210176124166828,0.997588992294288,0.6113233207176603,-186.78300435639989
1.1700000000000002,1.0995574287564276,1.0424776333003904,0.5311688846952698,-186.8279376553382
1.1700000000000002,1.1780972450961724,1.0809390530382057,0.44773961586715516,-186.86020614729577
1.1700000000000002,1.2566370614359172,1.1127361240653297,0.36154988341868854,-186.8835124000497
1.1700000000000002,1.335176877775662,1.1376728068652817,0.27313107571140943,-186.90051576517988
1.1700000000000002,1.413716694115407,1.1555953584963112,0.1830283240970702,-186.9131675814881
1.1700000000000002,1.4922565104551517,1.16639328046776,0.09179714200157867,-186.92237079121134
1.1700000000000002,1.5707963267948966,1.1700000000000002,7.164183775012018e-17,-186.9262854962813
1.1800000000000002,0.7853981633974483,0.8343860018001261,0.8343860018001262,-186.53816172278033
1.1800000000000002,0.8639379797371931,0.8972790394080367,0.7663486970296168,-186.64413209872714
1.1800000000000002,0.9424777960769379,0.9546400533624381,0.6935865977051184,-186.72920271567196
1.1800000000000002,1.0210176124166828,1.006115393937829,0.6165483063648198,-186.78977247130274
1.1800000000000002,1.0995574287564276,1.051387698542274,0.5357087896926653,-186.83293011448126
1.1800000000000002,1.1780972450961724,1.0901778483633184,0.45156645019080605,-186.86388752478973
1.1800000000000002,1.2566370614359172,1.1222466892282814,0.36464005336243804,-186.8862397908245
1.1800000000000002,1.335176877775662,1.1473965060692586,0.2754655293499685,-186.90256382958228
1.1800000000000002,1.413716694115407,1.1654722419022627,0.18459266874747252,-186.9147450466262
1.1800000000000002,1.4922565104551517,1.1763624538050912,0.0925817329588571,-186.923640542215
1.1800000000000002,1.5707963267948966,1.1800000000000002,7.225416114969385e-17,-186.92743220666546
1.1900000000000002,0.7853981633974483,0.8414570696119916,0.8414570696119917,-186.55176252086483
1.1900000000000002,0.8639379797371931,0.904883099064037,0.7728431775129186,-186.6551386279979
1.1900000000000002,0.9424777960769379,0.9627302233061876,0.6994644502280432,-186.7371495402577
1.1900000000000002,1.0210176124166828,1.0146417955813698,0.6217732920119793,-186.7954054599009
1.1900000000000002,1.0995574287564276,1.0602977637841577,0.5402486946900608,-186.83684185013524
1.1900000000000002,1.1780972450961724,1.0994166436884314,0.455393284514457,-186.86652816435424
1.1900000000000002,1.2566370614359172,1.1317572543912329,0.36773022330618754,-186.88795488143765
1.1900000000000002,1.335176877775662,1.1571202052732352,0.27779998298852754,-186.9036185113535
1.1900000000000002,1.413716694115407,1.175349125308214,0.18615701339787483,-186.91534032584815
1.1900000000000002,1.4922565104551517,1.1863316271424225,0.09336632391613556,-186.92393398301226
1.1900000000000002,1.5707963267948966,1.1900000000000002,7.286648454926753e-17,-186.92760486938545
1.2000000000000002,0.7853981633974483,0.8485281374238571,0.8485281374238572,-186.56419484511042
1.2000000000000002,0.8639379797371931,0.9124871587200373,0.7793376579962205,-186.66491759806624
1.2000000000000002,0.9424777960769379,0.9708203932499371,0.7053423027509679,-186.74395797747056
1.2000000000000002,1.0210176124166828,1.0231681972249107,0.6269982776591387,-186.79997006617157
1.2000000000000002,1.0995574287564276,1.0692078290260416,0.5447885996874563,-186.8397371174479
1.2000000000000002,1.1780972450961724,1.1086554390135444,0.45922011883810787,-186.86819036469964
1.2000000000000002,1.2566370614359172,1.1412678195541843,0.370820393249937,-186.8887184772525
1.2000000000000002,1.335176877775662,1.166843904477212,0.2801344366270866,-186.9037395237724
1.2000000000000002,1.413716694115407,1.1852260087141655,0.18772135804827714,-186.91501236509282
1.2000000000000002,1.4922565104551517,1.1963008004797537,0.09415091487341401,-186.92330950480192
1.2000000000000002,1.5707963267948966,1.2000000000000002,7.34788079488412e-17,-186.92686162619668
